,Date,City,State
0,2019-02-11,El Paso,TX
1,2019-03-28,Grand Rapids,MI
2,2019-04-27,Green Bay,WI
3,2019-05-08,Panama City Beach,FL
4,2019-05-20,Montoursville,PA
5,2019-06-18,Orlando,FL
6,2019-07-17,Greenville,NC
7,2019-08-01,Cincinnati,OH
8,2019-08-15,Manchester,NH
9,2019-09-09,Fayetteville,NC
10,2019-09-16,Rio Rancho,NM
11,2019-10-10,Minneapolis,MN
12,2019-10-11,Lake Charles,LA
13,2019-10-17,Dallas,TX
14,2019-11-01,Tupelo,MS
15,2019-11-04,Lexington,KY
16,2019-11-06,Monroe,LA
17,2019-11-14,Bossier City,LA
